"sku";"quantity";"total_revenue";"total_cost";"contribution_margin";"cm_ratio_pct";"cm_share";"cm_cumulative";"abc_rank"
Халат1белый;2816.00;13508207.00;4321782.0000;2567403.5700;19.01;11.50;11.50;A
UhmTeen0001lav;1428.00;4695836.00;1140996.0000;1253880.3600;26.70;5.62;17.12;A
Uhmw0003bel;1017.00;4961993.00;1430840.0000;1099776.4300;22.16;4.93;22.05;A
Халат1персик;969.00;4777861.00;1404896.0000;1031813.1100;21.60;4.62;26.67;A
UhmTeen0001sir;988.00;3241478.00;781814.0000;871339.7800;26.88;3.90;30.57;A
Uhmw0003kup;869.00;3803358.00;1169262.0000;770450.5800;20.26;3.45;34.02;A
Uhmm0010graf;659.00;3487697.00;1021724.0000;757001.4700;21.70;3.39;37.41;A
Халат1сиреневый;746.00;3649352.00;1117374.0000;743795.5200;20.38;3.33;40.74;A
Халат1kup;845.00;3971130.00;1347147.0000;678129.3000;17.08;3.04;43.78;A
Халат1бордо;672.00;3276561.00;1012901.0000;658145.1100;20.09;2.95;46.73;A
UhmW0001kup;632.00;3232534.00;1036660.0000;611932.3400;18.93;2.74;49.47;A
UhmTeen0001bezh;823.00;2523076.00;695613.0000;591155.7600;23.43;2.65;52.12;A
Халат1серый;598.00;2990170.00;937861.0000;587125.7000;19.64;2.63;54.75;A
Uhmw0003izu;564.00;2458587.00;667056.0000;586823.3700;23.87;2.63;57.38;A
UhmTeen0001ser2;686.00;2185560.00;537720.0000;576915.6000;26.40;2.58;59.96;A
Uhmw0003maslo;615.00;2564235.00;737354.0000;570405.8500;22.24;2.55;62.51;A
Uhmw0003sir;637.00;2537125.00;735315.0000;558618.7500;22.02;2.50;65.01;A
Халат1изумрудный;508.00;2481503.00;775504.0000;490062.5300;19.75;2.19;67.20;A
Халат1беж;438.00;2171923.00;656935.0000;450745.7300;20.75;2.02;69.22;A
Uhmw0003ser;460.00;1876451.00;525458.0000;431532.0100;23.00;1.93;71.15;A
Uhmm0010tsin;337.00;1811362.00;510788.0000;413006.6200;22.80;1.85;73.00;A
UhmTeen0001ser;455.00;1486264.00;367986.0000;390008.6400;26.24;1.75;74.75;A
UhmW0008mol/roz;361.00;1684703.00;501525.0000;357673.5300;21.23;1.60;76.35;A
Uhmm0010tzel;322.00;1681657.00;503330.0000;354315.0700;21.07;1.59;77.94;A
UhmTeen0001maslo;517.00;1406813.00;377579.0000;339895.6300;24.16;1.52;79.46;A
UhmM0009tsin;341.00;1863414.00;616897.0000;333444.1400;17.89;1.49;80.95;B
Uhmw006pbir;362.00;1903022.00;646353.0000;324188.2200;17.04;1.45;82.40;B
UhmW0014lat;350.00;1565929.00;474688.0000;323935.7900;20.69;1.45;83.85;B
UhmDet0001mol/roz;444.00;1355623.00;375885.0000;315482.7300;23.27;1.41;85.26;B
Uhmw006proz;327.00;1740316.00;583182.0000;304379.1600;17.49;1.36;86.62;B
Uhmw0003beig;351.00;1380596.00;407245.0000;296858.9600;21.50;1.33;87.95;B
UhmW0001pbor;350.00;1627499.00;546419.0000;283605.4900;17.43;1.27;89.22;B
UhmM0009graf;244.00;1317136.00;431140.0000;240599.3600;18.27;1.08;90.30;B
UhmW0001ser;287.00;1371657.00;460352.0000;239193.0700;17.44;1.07;91.37;B
UhmW0014bel;244.00;1083476.00;326085.0000;226487.7600;20.90;1.01;92.38;B
Uhmw006tsin;220.00;1190560.00;389956.0000;217229.6000;18.25;0.97;93.35;B
UhmW0015graf;233.00;762352.00;175484.0000;213315.5200;27.98;0.96;94.31;B
UhmTeen0001sir2;208.00;706173.00;152386.0000;207762.2300;29.42;0.93;95.24;C
UhmW0011sir;135.00;612407.00;153926.0000;158401.5700;25.87;0.71;95.95;C
UhmW0015maslo;191.00;592984.00;145056.0000;157365.8400;26.54;0.70;96.65;C
UhmW0011lav;134.00;607665.00;152740.0000;157169.1500;25.86;0.70;97.35;C
UhmDet0001mol/gol;207.00;566490.00;175923.0000;112986.9000;19.95;0.51;97.86;C
UhmW0011ser;103.00;432954.00;114327.0000;106479.5400;24.59;0.48;98.34;C
UhmW0015kup;130.00;401568.00;98554.0000;106245.6800;26.46;0.48;98.82;C
UhmW0012mol/gol;97.00;453815.00;149499.0000;81946.6500;18.06;0.37;99.19;C
UhmW0008mol/gol;127.00;475598.00;164047.0000;78507.9800;16.51;0.35;99.54;C
UhmW0015proz;40.00;142524.00;30128.0000;42559.2400;29.86;0.19;99.73;C
Uhmm0010zelcamouf;22.00;127634.00;32813.0000;32280.3400;25.29;0.14;99.87;C
UhmW0015bel;24.00;84744.00;18100.0000;25119.4400;29.64;0.11;99.98;C
