Артикул;Наименование;Характеристика;Цвет;Категория;Подкатегория;пол;СС руб/шт
Халат1беж;Unelle халат махровый женский бежевый Леша;42;бежевый;Халат махровый;Классический махровый;женский;1514
ХалатВафЖенбежевый;Unelle халат вафельный женский бежевый;42;бежевый;Халат вафельный;Классический вафельный;женский;618
Халат1белый;Unelle халат махровый женский белый Леша;42;белый;Халат махровый;Классический махровый;женский;1509
ХалатВафЖенбелый;Unelle халат вафельный женский белый;42;белый;Халат вафельный;Классический вафельный;женский;604
Халат1бордо;Unelle халат махровый женский бордовый Леша;42;бордовый;Халат махровый;Классический махровый;женский;1477
ХалатВафЖенБирюза;Unelle халат вафельный женский голубой;42;Голубой;Халат вафельный;Классический вафельный;женский;620
ХалатВафЖенграфит;Unelle халат вафельный женский графитовый;42;графитовый;Халат вафельный;Классический вафельный;женский;638
Халат1изумрудный;Unelle халат махровый женский изумрудный Леша;42;Изумрудный;Халат махровый;Классический махровый;женский;1563
ХалатВафЖенИзумрудный;Unelle халат вафельный женский изумрудный;42;Изумрудный;Халат вафельный;Классический вафельный;женский;643
Халат1kup;Unelle халат махровый женский капучино Леша;42;Капучино;Халат махровый;Классический махровый;женский;1589
Халат1персик;Unelle халат махровый женский персиковый Леша;42;персиковый;Халат махровый;Классический махровый;женский;1422
Халат1серый;Unelle халат махровый женский серый Леша;42;серый;Халат махровый;Классический махровый;женский;1549
ХалатВафЖенсерый;Unelle халат вафельный женский серый;42;серый;Халат вафельный;Классический вафельный;женский;622
Халат1сиреневый;Unelle халат махровый женский сиреневый Лёша;42;сиреневый;Халат махровый;Классический махровый;женский;1471
Uhmw0003sir;Unelle халат махровый женский сиреневый Лена;42;сиреневый;Халат махровый;Классический махровый;женский;1095
ХалатВафЖенфиолетовый;Unelle халат вафельный женский фиолетовый;42;фиолетовый;Халат вафельный;Классический вафельный;женский;635
ХалатВафЖенчерный;Unelle халат вафельный женский черный;42;черный;Халат вафельный;Классический вафельный;женский;620
Халат1беж;Unelle халат махровый женский бежевый Леша;44;бежевый;Халат махровый;Классический махровый;женский;1486
ХалатВафЖенбежевый;Unelle халат вафельный женский бежевый;44;бежевый;Халат вафельный;Классический вафельный;женский;632
Халат1белый;Unelle халат махровый женский белый Леша;44;белый;Халат махровый;Классический махровый;женский;1508
ХалатВафЖенбелый;Unelle халат вафельный женский белый;44;белый;Халат вафельный;Классический вафельный;женский;616
Халат1бордо;Unelle халат махровый женский бордовый Леша;44;бордовый;Халат махровый;Классический махровый;женский;1464
ХалатВафЖенБирюза;Unelle халат вафельный женский голубой;44;Голубой;Халат вафельный;Классический вафельный;женский;630
ХалатВафЖенграфит;Unelle халат вафельный женский графитовый;44;графитовый;Халат вафельный;Классический вафельный;женский;654
Халат1изумрудный;Unelle халат махровый женский изумрудный Леша;44;Изумрудный;Халат махровый;Классический махровый;женский;1524
ХалатВафЖенИзумрудный;Unelle халат вафельный женский изумрудный;44;Изумрудный;Халат вафельный;Классический вафельный;женский;657
Халат1kup;Unelle халат махровый женский капучино Леша;44;Капучино;Халат махровый;Классический махровый;женский;1572
Халат1персик;Unelle халат махровый женский персиковый Леша;44;персиковый;Халат махровый;Классический махровый;женский;1409
Халат1серый;Unelle халат махровый женский серый Леша;44;серый;Халат махровый;Классический махровый;женский;1577
ХалатВафЖенсерый;Unelle халат вафельный женский серый;44;серый;Халат вафельный;Классический вафельный;женский;635
Халат1сиреневый;Unelle халат махровый женский сиреневый Лёша;44;сиреневый;Халат махровый;Классический махровый;женский;1497
Uhmw0003sir;Unelle халат махровый женский сиреневый Лена;44;сиреневый;Халат махровый;Классический махровый;женский;1110
