Артикул;Наименование;Размер;Цвет;Категория;Подкатегория;пол;Продажи, шт;Продажи, руб.
UhmM0009graf;халат махра-велюр мужской с капюшоном графитовый ;50-52;графитовый;Халат махровый;Классический махровый;мужской;106;572843
UhmM0009graf;халат махра-велюр мужской с капюшоном графитовый ;54-56;графитовый;Халат махровый;Классический махровый;мужской;92;490458
UhmM0009graf;халат махра-велюр мужской с капюшоном графитовый ;58-60;графитовый;Халат махровый;Классический махровый;мужской;46;253835
UhmM0009tsin;халат махра-велюр мужской с капюшоном темно-синий ;50-52;темно-синий;Халат махровый;Классический махровый;мужской;149;807025
UhmM0009tsin;халат махра-велюр мужской с капюшоном темно-синий ;54-56;темно-синий;Халат махровый;Классический махровый;мужской;120;659750
UhmM0009tsin;халат махра-велюр мужской с капюшоном темно-синий ;58-60;темно-синий;Халат махровый;Классический махровый;мужской;72;396639
Uhmm0010graf;халат махровый мужской графитовый ;50-52;графитовый;Халат махровый;Классический махровый;мужской;272;1440280
Uhmm0010graf;халат махровый мужской графитовый ;54-56;графитовый;Халат махровый;Классический махровый;мужской;271;1435601
Uhmm0010graf;халат махровый мужской графитовый ;58-60;графитовый;Халат махровый;Классический махровый;мужской;116;611816
Uhmm0010tzel;халат махровый мужской темно-зелёный ;50-52;темно-зелёный;Халат махровый;Классический махровый;мужской;121;629135
Uhmm0010tzel;халат махровый мужской темно-зелёный ;54-56;темно-зелёный;Халат махровый;Классический махровый;мужской;128;670652
Uhmm0010tzel;халат махровый мужской темно-зелёный ;58-60;темно-зелёный;Халат махровый;Классический махровый;мужской;73;381870
Uhmm0010tsin;халат махровый мужской темно-синий ;50-52;темно-синий;Халат махровый;Классический махровый;мужской;126;668415
Uhmm0010tsin;халат махровый мужской темно-синий ;54-56;темно-синий;Халат махровый;Классический махровый;мужской;140;765001
Uhmm0010tsin;халат махровый мужской темно-синий ;58-60;темно-синий;Халат махровый;Классический махровый;мужской;71;377946
Uhmm0010zelcamouf;халат махровый мужской камуфляжный зеленый ;50-52;зеленый;Халат махровый;Дизайнерский махровый;муж;11;63855
Uhmm0010zelcamouf;халат махровый мужской камуфляжный зеленый ;54-56;зеленый;Халат махровый;Дизайнерский махровый;муж;11;63779
UhmW0001kup;халат махровый женский с капюшоном капучино ;42-44;капучино;Халат махровый;Классический махровый;женский;198;1006417
UhmW0001kup;халат махровый женский с капюшоном капучино ;46-48;капучино;Халат махровый;Классический махровый;женский;234;1204207
UhmW0001kup;халат махровый женский с капюшоном капучино ;50-52;капучино;Халат махровый;Классический махровый;женский;200;1021910
UhmW0001pbor;халат махровый женский с капюшоном пыльно-бордовый ;42-44;пыльно-бордовый;Халат махровый;Классический махровый;женский;81;377361
UhmW0001pbor;халат махровый женский с капюшоном пыльно-бордовый ;46-48;пыльно-бордовый;Халат махровый;Классический махровый;женский;136;631777
UhmW0001pbor;халат махровый женский с капюшоном пыльно-бордовый ;50-52;пыльно-бордовый;Халат махровый;Классический махровый;женский;133;618361
UhmW0001ser;халат махровый женский с капюшоном серый ;42-44;серый;Халат махровый;Классический махровый;женский;95;451361
UhmW0001ser;халат махровый женский с капюшоном серый ;46-48;серый;Халат махровый;Классический махровый;женский;106;500566
UhmW0001ser;халат махровый женский с капюшоном серый ;50-52;серый;Халат махровый;Классический махровый;женский;86;419730
Халат1беж;халат махровый женский бежевый ;42;бежевый;Халат махровый;Классический махровый;женский;44;219061
Халат1беж;халат махровый женский бежевый ;44;бежевый;Халат махровый;Классический махровый;женский;85;420458
Халат1беж;халат махровый женский бежевый ;46;бежевый;Халат махровый;Классический махровый;женский;97;484614
Халат1беж;халат махровый женский бежевый ;48;бежевый;Халат махровый;Классический махровый;женский;62;307849
Халат1беж;халат махровый женский бежевый ;50;бежевый;Халат махровый;Классический махровый;женский;37;186702
Халат1беж;халат махровый женский бежевый ;52;бежевый;Халат махровый;Классический махровый;женский;30;146766
Халат1беж;халат махровый женский бежевый ;54;бежевый;Халат махровый;Классический махровый;женский;32;157518
Халат1беж;халат махровый женский бежевый ;56;бежевый;Халат махровый;Классический махровый;женский;25;121721
Халат1беж;халат махровый женский бежевый ;58;бежевый;Халат махровый;Классический махровый;женский;9;43374
Халат1беж;халат махровый женский бежевый ;60;бежевый;Халат махровый;Классический махровый;женский;17;83860
Uhmw0003beig;халат махровый женский бежевый ;42-44;бежевый;Халат махровый;Классический махровый;женский;92;359049
